2025-03-05 16:33:16,753 - INTERNAL event, logical clock: 131
2025-03-05 16:33:16,921 - SEND event to port 5001, logical clock: 132
2025-03-05 16:33:17,092 - INTERNAL event, logical clock: 133
2025-03-05 16:33:17,259 - RECEIVE event, queue length: 0, logical clock: 134
2025-03-05 16:33:17,430 - INTERNAL event, logical clock: 135
2025-03-05 16:33:17,599 - INTERNAL event, logical clock: 136
2025-03-05 16:33:17,770 - INTERNAL event, logical clock: 137
2025-03-05 16:33:17,941 - SEND event to ALL machines, logical clock: 138
2025-03-05 16:33:18,110 - INTERNAL event, logical clock: 139
2025-03-05 16:33:18,282 - SEND event to ALL machines, logical clock: 140
2025-03-05 16:33:18,454 - SEND event to port 5001, logical clock: 141
2025-03-05 16:33:18,625 - SEND event to port 5002, logical clock: 142
2025-03-05 16:33:18,795 - INTERNAL event, logical clock: 143
2025-03-05 16:33:18,967 - INTERNAL event, logical clock: 144
2025-03-05 16:33:19,136 - INTERNAL event, logical clock: 145
2025-03-05 16:33:19,308 - INTERNAL event, logical clock: 146
2025-03-05 16:33:19,476 - INTERNAL event, logical clock: 147
2025-03-05 16:33:19,648 - RECEIVE event, queue length: 0, logical clock: 148
2025-03-05 16:33:19,820 - SEND event to port 5001, logical clock: 149
2025-03-05 16:33:19,991 - SEND event to port 5002, logical clock: 150
2025-03-05 16:33:20,163 - INTERNAL event, logical clock: 151
2025-03-05 16:33:20,334 - SEND event to ALL machines, logical clock: 152
2025-03-05 16:33:20,503 - INTERNAL event, logical clock: 153
2025-03-05 16:33:20,675 - INTERNAL event, logical clock: 154
2025-03-05 16:33:20,846 - INTERNAL event, logical clock: 155
2025-03-05 16:33:21,016 - INTERNAL event, logical clock: 156
2025-03-05 16:33:21,188 - INTERNAL event, logical clock: 157
2025-03-05 16:33:21,359 - SEND event to port 5001, logical clock: 158
2025-03-05 16:33:21,527 - INTERNAL event, logical clock: 159
2025-03-05 16:33:21,694 - INTERNAL event, logical clock: 160
2025-03-05 16:33:21,863 - INTERNAL event, logical clock: 161
2025-03-05 16:33:22,034 - INTERNAL event, logical clock: 162
2025-03-05 16:33:22,206 - INTERNAL event, logical clock: 163
2025-03-05 16:33:22,378 - SEND event to port 5001, logical clock: 164
2025-03-05 16:33:22,547 - SEND event to ALL machines, logical clock: 165
2025-03-05 16:33:22,716 - SEND event to port 5002, logical clock: 166
2025-03-05 16:33:22,887 - INTERNAL event, logical clock: 167
2025-03-05 16:33:23,059 - INTERNAL event, logical clock: 168
2025-03-05 16:33:23,231 - INTERNAL event, logical clock: 169
2025-03-05 16:33:23,402 - INTERNAL event, logical clock: 170
2025-03-05 16:33:23,570 - INTERNAL event, logical clock: 171
2025-03-05 16:33:23,742 - SEND event to port 5001, logical clock: 172
2025-03-05 16:33:23,914 - INTERNAL event, logical clock: 173
2025-03-05 16:33:24,085 - INTERNAL event, logical clock: 174
2025-03-05 16:33:24,256 - INTERNAL event, logical clock: 175
2025-03-05 16:33:24,426 - INTERNAL event, logical clock: 176
2025-03-05 16:33:24,598 - RECEIVE event, queue length: 0, logical clock: 177
