2025-03-04 21:24:20,966 - SEND event to port 5001, logical clock: 135
2025-03-04 21:24:21,137 - SEND event to port 5001, logical clock: 136
2025-03-04 21:24:21,305 - SEND event to port 5002, logical clock: 137
2025-03-04 21:24:21,476 - SEND event to port 5001, logical clock: 138
2025-03-04 21:24:21,643 - SEND event to ALL machines, logical clock: 139
2025-03-04 21:24:21,815 - SEND event to ALL machines, logical clock: 140
2025-03-04 21:24:21,986 - SEND event to port 5002, logical clock: 141
2025-03-04 21:24:22,155 - SEND event to port 5002, logical clock: 142
2025-03-04 21:24:22,327 - SEND event to port 5001, logical clock: 143
2025-03-04 21:24:22,495 - SEND event to port 5001, logical clock: 144
2025-03-04 21:24:22,667 - SEND event to ALL machines, logical clock: 145
2025-03-04 21:24:22,837 - SEND event to port 5002, logical clock: 146
2025-03-04 21:24:23,006 - SEND event to port 5002, logical clock: 147
2025-03-04 21:24:23,178 - INTERNAL event, logical clock: 148
2025-03-04 21:24:23,349 - SEND event to ALL machines, logical clock: 149
2025-03-04 21:24:23,520 - SEND event to port 5001, logical clock: 150
2025-03-04 21:24:23,692 - SEND event to port 5001, logical clock: 151
2025-03-04 21:24:23,864 - SEND event to port 5001, logical clock: 152
2025-03-04 21:24:24,032 - SEND event to port 5001, logical clock: 153
2025-03-04 21:24:24,203 - SEND event to port 5002, logical clock: 154
2025-03-04 21:24:24,375 - SEND event to port 5001, logical clock: 155
2025-03-04 21:24:24,546 - SEND event to port 5001, logical clock: 156
2025-03-04 21:24:24,717 - RECEIVE event, queue length: 0, logical clock: 157
2025-03-04 21:24:24,886 - SEND event to port 5001, logical clock: 158
2025-03-04 21:24:25,058 - RECEIVE event, queue length: 0, logical clock: 159
2025-03-04 21:24:25,229 - SEND event to ALL machines, logical clock: 160
2025-03-04 21:24:25,401 - SEND event to port 5001, logical clock: 161
2025-03-04 21:24:25,571 - INTERNAL event, logical clock: 162
2025-03-04 21:24:25,743 - RECEIVE event, queue length: 0, logical clock: 163
2025-03-04 21:24:25,914 - SEND event to ALL machines, logical clock: 164
2025-03-04 21:24:26,083 - SEND event to ALL machines, logical clock: 165
2025-03-04 21:24:26,255 - SEND event to ALL machines, logical clock: 166
2025-03-04 21:24:26,427 - SEND event to port 5001, logical clock: 167
2025-03-04 21:24:26,598 - SEND event to port 5002, logical clock: 168
2025-03-04 21:24:26,766 - SEND event to ALL machines, logical clock: 169
2025-03-04 21:24:26,935 - SEND event to port 5002, logical clock: 170
2025-03-04 21:24:27,104 - SEND event to port 5002, logical clock: 171
2025-03-04 21:24:27,275 - SEND event to port 5002, logical clock: 172
2025-03-04 21:24:27,446 - INTERNAL event, logical clock: 173
2025-03-04 21:24:27,614 - SEND event to port 5002, logical clock: 174
2025-03-04 21:24:27,782 - SEND event to port 5001, logical clock: 175
2025-03-04 21:24:27,953 - INTERNAL event, logical clock: 176
2025-03-04 21:24:28,125 - SEND event to port 5001, logical clock: 177
2025-03-04 21:24:28,296 - RECEIVE event, queue length: 0, logical clock: 178
2025-03-04 21:24:28,468 - RECEIVE event, queue length: 0, logical clock: 179
2025-03-04 21:24:28,638 - INTERNAL event, logical clock: 180
2025-03-04 21:24:28,805 - RECEIVE event, queue length: 0, logical clock: 181
2025-03-04 21:24:28,977 - RECEIVE event, queue length: 0, logical clock: 182
2025-03-04 21:24:29,147 - INTERNAL event, logical clock: 183
2025-03-04 21:24:29,315 - SEND event to port 5002, logical clock: 184
