2025-03-04 23:07:44,202 - Connected to machine on port 5001
2025-03-04 23:07:44,203 - Connected to machine on port 5002
2025-03-04 23:07:44,203 - Machine 2 starting with clock rate 2
2025-03-04 23:07:44,204 - SEND event to ALL machines, logical clock: 1
2025-03-04 23:08:36,608 - RECEIVE event, queue length: 56, logical clock: 163
2025-03-04 23:08:37,113 - RECEIVE event, queue length: 56, logical clock: 164
2025-03-04 23:08:37,618 - RECEIVE event, queue length: 58, logical clock: 165
2025-03-04 23:08:38,122 - RECEIVE event, queue length: 57, logical clock: 166
2025-03-04 23:08:38,627 - RECEIVE event, queue length: 59, logical clock: 169
2025-03-04 23:08:39,133 - RECEIVE event, queue length: 59, logical clock: 170
2025-03-04 23:08:39,633 - RECEIVE event, queue length: 60, logical clock: 171
2025-03-04 23:08:40,134 - RECEIVE event, queue length: 60, logical clock: 172
2025-03-04 23:08:40,635 - RECEIVE event, queue length: 59, logical clock: 173
2025-03-04 23:08:41,141 - RECEIVE event, queue length: 60, logical clock: 178
2025-03-04 23:08:41,646 - RECEIVE event, queue length: 61, logical clock: 179
2025-03-04 23:08:42,146 - RECEIVE event, queue length: 61, logical clock: 180
2025-03-04 23:08:42,201 - Machine 2 stopped. Final logical clock: 180
