2025-03-04 23:07:05,184 - RECEIVE event, queue length: 0, logical clock: 189
2025-03-04 23:07:05,434 - RECEIVE event, queue length: 0, logical clock: 191
2025-03-04 23:07:05,684 - RECEIVE event, queue length: 0, logical clock: 193
2025-03-04 23:07:05,939 - RECEIVE event, queue length: 0, logical clock: 194
2025-03-04 23:07:06,195 - RECEIVE event, queue length: 1, logical clock: 195
2025-03-04 23:07:06,449 - RECEIVE event, queue length: 1, logical clock: 196
2025-03-04 23:07:06,704 - RECEIVE event, queue length: 0, logical clock: 197
2025-03-04 23:07:06,959 - RECEIVE event, queue length: 0, logical clock: 200
2025-03-04 23:07:07,211 - RECEIVE event, queue length: 0, logical clock: 201
2025-03-04 23:07:07,466 - RECEIVE event, queue length: 0, logical clock: 203
2025-03-04 23:07:07,719 - RECEIVE event, queue length: 1, logical clock: 204
2025-03-04 23:07:07,974 - RECEIVE event, queue length: 0, logical clock: 205
2025-03-04 23:07:08,226 - RECEIVE event, queue length: 0, logical clock: 207
2025-03-04 23:07:08,479 - RECEIVE event, queue length: 0, logical clock: 209
2025-03-04 23:07:08,734 - RECEIVE event, queue length: 0, logical clock: 210
2025-03-04 23:07:08,989 - SEND event to port 5003, logical clock: 211
2025-03-04 23:07:09,244 - SEND event to ALL machines, logical clock: 212
2025-03-04 23:07:09,499 - SEND event to port 5003, logical clock: 213
2025-03-04 23:07:09,752 - INTERNAL event, logical clock: 214
2025-03-04 23:07:10,007 - RECEIVE event, queue length: 0, logical clock: 218
2025-03-04 23:07:10,262 - RECEIVE event, queue length: 1, logical clock: 219
2025-03-04 23:07:10,517 - RECEIVE event, queue length: 1, logical clock: 220
2025-03-04 23:07:10,772 - RECEIVE event, queue length: 2, logical clock: 221
2025-03-04 23:07:11,026 - RECEIVE event, queue length: 1, logical clock: 222
2025-03-04 23:07:11,279 - RECEIVE event, queue length: 1, logical clock: 223
2025-03-04 23:07:11,534 - RECEIVE event, queue length: 0, logical clock: 226
2025-03-04 23:07:11,787 - RECEIVE event, queue length: 1, logical clock: 228
2025-03-04 23:07:12,039 - RECEIVE event, queue length: 1, logical clock: 229
2025-03-04 23:07:12,294 - RECEIVE event, queue length: 1, logical clock: 230
2025-03-04 23:07:12,546 - RECEIVE event, queue length: 1, logical clock: 231
2025-03-04 23:07:12,800 - RECEIVE event, queue length: 1, logical clock: 232
2025-03-04 23:07:13,055 - RECEIVE event, queue length: 1, logical clock: 234
2025-03-04 23:07:13,306 - RECEIVE event, queue length: 1, logical clock: 235
2025-03-04 23:07:13,561 - RECEIVE event, queue length: 1, logical clock: 237
2025-03-04 23:07:13,816 - RECEIVE event, queue length: 0, logical clock: 238
2025-03-04 23:07:14,068 - RECEIVE event, queue length: 1, logical clock: 241
2025-03-04 23:07:14,321 - RECEIVE event, queue length: 0, logical clock: 242
2025-03-04 23:07:14,574 - RECEIVE event, queue length: 0, logical clock: 245
2025-03-04 23:07:14,829 - SEND event to ALL machines, logical clock: 246
2025-03-04 23:07:15,080 - RECEIVE event, queue length: 0, logical clock: 249
2025-03-04 23:07:15,335 - RECEIVE event, queue length: 0, logical clock: 250
2025-03-04 23:07:15,590 - RECEIVE event, queue length: 0, logical clock: 251
2025-03-04 23:07:15,844 - RECEIVE event, queue length: 0, logical clock: 253
2025-03-04 23:07:16,097 - RECEIVE event, queue length: 0, logical clock: 254
2025-03-04 23:07:16,349 - RECEIVE event, queue length: 0, logical clock: 256
2025-03-04 23:07:16,603 - RECEIVE event, queue length: 1, logical clock: 257
2025-03-04 23:07:16,856 - RECEIVE event, queue length: 1, logical clock: 258
2025-03-04 23:07:17,109 - RECEIVE event, queue length: 2, logical clock: 259
2025-03-04 23:07:17,360 - RECEIVE event, queue length: 1, logical clock: 260
2025-03-04 23:07:17,615 - RECEIVE event, queue length: 1, logical clock: 261
2025-03-04 23:07:17,870 - RECEIVE event, queue length: 0, logical clock: 264
2025-03-04 23:07:18,122 - RECEIVE event, queue length: 0, logical clock: 267
2025-03-04 23:07:18,377 - INTERNAL event, logical clock: 268
2025-03-04 23:07:18,630 - RECEIVE event, queue length: 0, logical clock: 269
2025-03-04 23:07:18,881 - SEND event to ALL machines, logical clock: 270
2025-03-04 23:07:19,133 - SEND event to port 5003, logical clock: 271
2025-03-04 23:07:19,389 - SEND event to port 5003, logical clock: 272
2025-03-04 23:07:19,643 - RECEIVE event, queue length: 0, logical clock: 276
2025-03-04 23:07:19,899 - SEND event to port 5003, logical clock: 277
2025-03-04 23:07:20,153 - SEND event to port 5003, logical clock: 278
2025-03-04 23:07:20,404 - INTERNAL event, logical clock: 279
2025-03-04 23:07:20,658 - SEND event to port 5001, logical clock: 280
2025-03-04 23:07:20,909 - SEND event to ALL machines, logical clock: 281
2025-03-04 23:07:21,160 - RECEIVE event, queue length: 0, logical clock: 286
2025-03-04 23:07:21,413 - SEND event to port 5001, logical clock: 287
2025-03-04 23:07:21,663 - RECEIVE event, queue length: 0, logical clock: 288
2025-03-04 23:07:21,918 - RECEIVE event, queue length: 0, logical clock: 290
2025-03-04 23:07:22,173 - RECEIVE event, queue length: 0, logical clock: 291
2025-03-04 23:07:22,427 - RECEIVE event, queue length: 0, logical clock: 292
2025-03-04 23:07:22,682 - RECEIVE event, queue length: 0, logical clock: 294
2025-03-04 23:07:22,937 - RECEIVE event, queue length: 0, logical clock: 296
2025-03-04 23:07:23,188 - RECEIVE event, queue length: 0, logical clock: 297
2025-03-04 23:07:23,439 - RECEIVE event, queue length: 1, logical clock: 298
2025-03-04 23:07:23,694 - RECEIVE event, queue length: 1, logical clock: 299
2025-03-04 23:07:23,949 - RECEIVE event, queue length: 2, logical clock: 300
2025-03-04 23:07:24,202 - RECEIVE event, queue length: 1, logical clock: 301
2025-03-04 23:07:24,453 - RECEIVE event, queue length: 1, logical clock: 302
2025-03-04 23:07:24,709 - RECEIVE event, queue length: 0, logical clock: 304
2025-03-04 23:07:24,964 - INTERNAL event, logical clock: 305
2025-03-04 23:07:25,218 - RECEIVE event, queue length: 0, logical clock: 309
2025-03-04 23:07:25,470 - SEND event to port 5003, logical clock: 310
2025-03-04 23:07:25,725 - SEND event to port 5001, logical clock: 311
2025-03-04 23:07:25,980 - RECEIVE event, queue length: 0, logical clock: 314
2025-03-04 23:07:26,235 - SEND event to ALL machines, logical clock: 315
2025-03-04 23:07:26,490 - SEND event to port 5003, logical clock: 316
